Year,Average Active Employees,Net Income,Gross Revenue,Net Income Per Employee,Gross Revenue Per Employee,Efficiency
2018,27,"$870,668.52","$20,377,589.18","$32,246.98","$754,725.53",4.27%
2019,29,"$50,380.06","$16,099,749.27","$1,737.24","$555,163.77",0.31%
2020,42,"$1,759,228.12","$37,330,834.68","$41,886.38","$888,829.40",4.71%
2021,48,"$3,575,635.81","$52,497,826.30","$74,492.41","$1,093,704.71",6.81%
2022,59,"$5,384,673.77","$60,478,702.79","$91,265.66","$1,025,062.76",8.90%
2023,59,"$3,222,203.48","$58,858,670.08","$54,613.62","$997,604.58",5.47%
2024,69,"$3,804,493.55","$66,879,514.96","$55,137.59","$969,268.33",5.69%
2025,60,"$4,372,388.20","$59,501,368.43","$73,116.86","$995,006.16",7.35%

